pet_id,species,breed,age_months,weight_kg,formula,batch_id,trial_date,lab_technician,notes,palatability_score,time_to_first_bite,consumed_amount_grams,formula_label,weight_z,bite_speed
CAT-070,Cat,Ragdoll,91,5,C,B2024-012,2024-02-25,Dr. Patel,NA,7,6.9,55,New Flavour Coating,-0.7471502462021864,Fast
DOG-111,Dog,Beagle,43,26.9,B,B2024-004,2024-09-03,Dr. Patel,NA,7.5,15.4,87.3,New Protein,1.1985063403756218,Medium
DOG-062,Dog,German Shepherd,56,17.1,C,B2024-001,2024-05-19,Dr. Smith,NA,9.2,2,108.9,New Flavour Coating,0.32784722857368037,Fast
CAT-144,Cat,Maine Coon,93,4.2,C,B2024-005,2024-12-21,Dr. Smith,NA,3.8,24.3,11.1,New Flavour Coating,-0.8182244594105083,Medium
DOG-207,Dog,Beagle,35,24.5,C,B2024-011,11-02-20,Dr. Chen,NA,7.1,8.3,85.9,New Flavour Coating,0.9852837007506566,Fast
DOG-184,Dog,Poodle,30,17.1,C,B2024-009,2024-01-02,Dr. Smith,NA,8.1,18.5,96,New Flavour Coating,0.32784722857368037,Medium
DOG-065,Dog,Beagle,53,3.4,A,B2024-007,2024-03-03,Dr. Smith,NA,6.4,15.4,70.7,Control,-0.8892986726188299,Medium
CAT-122,Cat,Bengal,34,NA,C,B2024-015,2024-10-15,Dr. Smith,NA,7.9,13.3,68.4,New Flavour Coating,NA,Medium
CAT-155,Cat,Bengal,74,3.1,C,B2024-009,2024-02-18,Dr. Patel,NA,6,16.7,51.9,New Flavour Coating,-0.9159515025719507,Medium
DOG-114,Dog,Poodle,47,4.8,C,B2024-001,2024-09-29,Dr. Okafor,NA,7.3,14.8,66.9,New Flavour Coating,-0.7649187995042668,Medium
DOG-047,Dog,Golden Retriever,66,8.5,B,B2024-015,2024-11-09,Dr. Smith,NA,5.9,10.4,63.2,New Protein,-0.4362005634157787,Medium
CAT-229,Cat,Siamese,62,6.4,A,B2024-004,2024-10-19,Dr. Chen,NA,5.8,14,35.2,Control,-0.6227703730876233,Medium
DOG-174,Dog,Labrador,114,37.2,A,B2024-003,2024-11-06,Dr. Chen,NA,6.4,11.1,56.7,Control,2.113586835432765,Medium
CAT-064,Cat,Ragdoll,48,6.4,B,B2024-001,2024-08-15,Dr. Okafor,NA,6.8,17.9,60.4,New Protein,-0.6227703730876233,Medium
DOG-118,Dog,Golden Retriever,92,11.1,B,B2024-009,2024-05-27,Dr. Chen,Spillage during trial (approx. 10g),6.9,11.6,76.7,New Protein,-0.205209370488733,Medium
DOG-042,Dog,Beagle,24,17.5,B,B2024-012,3-10-20,Dr. Okafor,NA,5.7,6.4,68.3,New Protein,0.36338433517784113,Fast
DOG-011,Dog,Labrador,49,26.1,A,B2024-015,2024-04-30,Dr. Chen,NA,4.5,23.1,44,Control,1.1274321271673002,Medium
CAT-078,Cat,Bengal,103,3.1,A,B2024-002,2024-01-16,Dr. Patel,NA,6.2,10.9,65.1,Control,-0.9159515025719507,Medium
CAT-030,Cat,Maine Coon,57,NA,C,B2024-011,2024-06-22,Dr. Chen,NA,8.2,10.2,67.1,New Flavour Coating,NA,Medium
CAT-129,Cat,Siamese,50,6.3,C,B2024-010,2024-08-02,Dr. Patel,NA,8.2,15.7,72.9,New Flavour Coating,-0.6316546497386636,Medium
DOG-244,Dog,Labrador,50,NA,B,B2024-006,2024-10-07,Dr. Patel,NA,6.3,13,82.5,New Protein,NA,Medium
DOG-264,Dog,German Shepherd,38,NA,A,B2024-009,2024-04-18,Dr. Patel,NA,6,15.9,62.4,Control,NA,Medium
DOG-156,Dog,Golden Retriever,115,5.3,A,B2024-002,2024-11-05,Dr. Chen,NA,9,14.9,76.4,Control,-0.7204974162490657,Medium
CAT-068,Cat,British Shorthair,80,4,C,B2024-014,2024-10-06,Dr. Smith,NA,5.6,14,55,New Flavour Coating,-0.8359930127125886,Medium
DOG-189,Dog,Beagle,120,28.6,A,B2024-010,2024-08-02,Dr. Okafor,NA,6.8,14.1,92.9,Control,1.3495390434433057,Medium
DOG-081,Dog,Golden Retriever,94,17.3,A,B2024-011,2024-09-13,Dr. Okafor,NA,7,10.3,55.4,Control,0.34561578187576075,Medium
CAT-132,Cat,Siamese,37,6.4,B,B2024-013,2024-03-24,Dr. Smith,NA,7.9,8.5,64.4,New Protein,-0.6227703730876233,Fast
DOG-212,Dog,Labrador,120,39.3,B,B2024-003,2024-09-11,Dr. Patel,NA,7.6,10.6,71.8,New Protein,2.300156645104609,Medium
CAT-021,Cat,British Shorthair,66,6.8,B,B2024-001,2024-08-16,Dr. Smith,NA,6.6,7.8,66.8,New Protein,-0.5872332664834624,Fast
DOG-044,Dog,Poodle,51,7.9,B,B2024-007,2024-01-27,Dr. Patel,Spillage during trial (approx. 10g),7.5,15,63,New Protein,-0.48950622332202,Medium
CAT-213,Cat,Maine Coon,67,3.5,A,B2024-005,2024-02-06,Dr. Okafor,NA,7.1,16.1,56.5,Control,-0.8804143959677897,Medium
DOG-009,Dog,Labrador,107,27.9,C,B2024-010,2024-08-05,Dr. Smith,NA,8.7,11.4,82.2,New Flavour Coating,1.2873491068860239,Medium
DOG-149,Dog,Labrador,112,37.6,A,B2024-006,2024-12-05,Dr. Okafor,NA,4.1,22.6,46.5,Control,2.1491239420369257,Medium
DOG-024,Dog,German Shepherd,33,6.1,B,B2024-013,2024-01-08,Dr. Okafor,NA,5.8,2.7,68.1,New Protein,-0.6494232030407441,Fast
CAT-163,Cat,Siamese,118,5.8,B,B2024-001,2024-03-15,Dr. Okafor,NA,5.7,15.5,63.3,New Protein,-0.6760760329938647,Medium
CAT-086,Cat,British Shorthair,34,6,B,B2024-012,2024-08-31,Dr. Okafor,NA,5.5,16.1,55.7,New Protein,-0.6583074796917843,Medium
DOG-096,Dog,Golden Retriever,69,22.2,B,B2024-015,2024-08-29,Dr. Chen,NA,7.5,10.5,91.8,New Protein,0.7809453377767315,Medium
DOG-208,Dog,Poodle,112,NA,B,B2024-003,2024-09-13,Dr. Patel,NA,7.8,7.5,76.2,New Protein,NA,Fast
DOG-226,Dog,Golden Retriever,47,3.6,A,B2024-010,2024-11-05,Dr. Okafor,NA,6.3,16.7,76.5,Control,-0.8715301193167495,Medium
DOG-130,Dog,Labrador,15,32.1,B,B2024-012,2024-03-30,Dr. Okafor,NA,7.9,8.9,86.8,New Protein,1.6604887262297134,Fast
DOG-148,Dog,Golden Retriever,115,19.1,B,B2024-014,2024-08-12,Dr. Smith,NA,5.2,19,53,New Protein,0.5055327615944848,Medium
DOG-247,Dog,German Shepherd,85,32.7,B,B2024-007,2024-06-19,Dr. Chen,Spillage during trial (approx. 10g),10,2,101.8,New Protein,1.713794386135955,Fast
DOG-249,Dog,Labrador,50,28.1,A,B2024-009,2024-07-23,Dr. Okafor,NA,8,5.6,77.6,Control,1.3051176601881047,Fast
CAT-197,Cat,Maine Coon,114,6.1,A,B2024-014,2024-03-18,Dr. Chen,NA,5.8,20.5,58.9,Control,-0.6494232030407441,Medium
CAT-020,Cat,Ragdoll,77,6.7,B,B2024-013,2024-01-25,Dr. Chen,NA,6.9,13.6,51.1,New Protein,-0.5961175431345026,Medium
DOG-150,Dog,Poodle,92,39.2,B,B2024-004,2024-05-10,Dr. Patel,NA,7.5,11.7,89.9,New Protein,2.291272368453569,Medium
DOG-252,Dog,German Shepherd,107,4,C,B2024-002,2024-06-29,Dr. Chen,NA,7.6,19.4,77.7,New Flavour Coating,-0.8359930127125886,Medium
CAT-031,Cat,Ragdoll,23,6.8,B,B2024-009,2024-02-15,Dr. Patel,Spillage during trial (approx. 10g),8.5,9.6,77.5,New Protein,-0.5872332664834624,Fast
DOG-030,Dog,Golden Retriever,112,38.1,B,B2024-012,2024-08-21,Dr. Chen,NA,8.3,12.9,82.5,New Protein,2.193545325292127,Medium
DOG-050,Dog,Poodle,103,39.7,A,B2024-011,2024-08-16,Dr. Smith,NA,8.9,2,74.3,Control,2.3356937517087704,Fast
DOG-117,Dog,Golden Retriever,39,3.4,A,B2024-008,2024-05-19,Dr. Okafor,NA,5.3,13.9,71.5,Control,-0.8892986726188299,Medium
CAT-083,Cat,Ragdoll,115,3.3,A,B2024-001,2024-03-28,Dr. Okafor,NA,6.8,14.9,66.3,Control,-0.8981829492698701,Medium
CAT-179,Cat,Siamese,43,NA,C,B2024-008,2024-12-03,Dr. Patel,NA,7.8,14,47,New Flavour Coating,NA,Medium
DOG-168,Dog,German Shepherd,107,NA,B,B2024-013,2024-07-25,Dr. Chen,NA,7.5,2,95.2,New Protein,NA,Fast
DOG-032,Dog,Golden Retriever,59,22.8,A,B2024-011,2024-06-26,Dr. Chen,NA,5.3,20.2,76.4,Control,0.834250997682973,Medium
DOG-143,Dog,Labrador,92,19.2,B,B2024-011,2024-10-14,Dr. Smith,NA,7.9,11.9,85.2,New Protein,0.5144170382455249,Medium
DOG-119,Dog,German Shepherd,105,5.1,A,B2024-007,2024-10-10,Dr. Patel,NA,7,18.8,64.9,Control,-0.7382659695511462,Medium
DOG-240,Dog,German Shepherd,107,15.9,B,B2024-008,2024-04-06,Dr. Okafor,NA,7.3,10.5,104.6,New Protein,0.22123590876119764,Medium
CAT-161,Cat,Bengal,111,6.8,A,B2024-006,2024-09-03,Dr. Patel,Pet showed strong preference immediately,8.2,9.2,86.4,Control,-0.5872332664834624,Fast
CAT-147,Cat,Ragdoll,65,5.4,A,B2024-011,2024-01-17,Dr. Smith,NA,6.8,13.1,71.6,Control,-0.7116131395980255,Medium
CAT-076,Cat,Siamese,23,5.9,A,B2024-008,2024-10-30,Dr. Patel,NA,6.2,7.2,83.6,Control,-0.6671917563428245,Fast
CAT-089,Cat,British Shorthair,17,6,C,B2024-014,2024-06-27,Dr. Okafor,NA,6.8,16,76.2,New Flavour Coating,-0.6583074796917843,Medium
CAT-095,Cat,British Shorthair,38,6.9,C,B2024-013,2024-11-24,Dr. Smith,NA,5.5,14.3,51.4,New Flavour Coating,-0.5783489898324222,Medium
CAT-107,Cat,British Shorthair,28,3,A,B2024-002,2024-07-04,Dr. Patel,NA,4.8,17.6,29.8,Control,-0.9248357792229909,Medium
CAT-111,Cat,Maine Coon,38,6.6,B,B2024-013,2024-01-07,Dr. Okafor,NA,7.2,8,69.5,New Protein,-0.6050018197855429,Fast
CAT-013,Cat,British Shorthair,120,NA,A,B2024-003,2024-09-29,Dr. Okafor,NA,6.3,15.6,46.3,Control,NA,Medium
CAT-217,Cat,Ragdoll,37,3.9,B,B2024-002,2024-12-15,Dr. Okafor,NA,7.2,15.4,81.2,New Protein,-0.8448772893636288,Medium
DOG-048,Dog,German Shepherd,25,38.6,A,B2024-008,2024-07-19,Dr. Okafor,NA,6.8,13.6,92,Control,2.2379667085473276,Medium
CAT-219,Cat,Siamese,111,3.8,C,B2024-007,2024-12-01,Dr. Patel,NA,7.4,8.9,64.7,New Flavour Coating,-0.853761566014669,Fast
DOG-157,Dog,Labrador,94,9.7,C,B2024-014,2024-10-28,Dr. Chen,NA,6.7,2.4,76.2,New Flavour Coating,-0.3295892436032961,Fast
DOG-068,Dog,Poodle,73,30.9,C,B2024-009,2024-02-05,Dr. Chen,NA,8.3,7.6,79.5,New Flavour Coating,1.5538774064172305,Fast
DOG-075,Dog,Golden Retriever,91,7.7,A,B2024-003,2024-10-29,Dr. Okafor,Refused initial sample,7.8,11.7,90.1,Control,-0.5072747766241005,Medium
DOG-209,Dog,Golden Retriever,50,7.9,B,B2024-010,2024-02-12,Dr. Okafor,NA,7.5,3.4,76.3,New Protein,-0.48950622332202,Fast
DOG-145,Dog,Poodle,95,4.4,C,B2024-006,2024-02-01,Dr. Smith,NA,7.9,7.3,56.4,New Flavour Coating,-0.8004559061084278,Fast
DOG-144,Dog,Labrador,117,27.8,C,B2024-015,2024-01-01,Dr. Okafor,NA,7.4,13.4,73.9,New Flavour Coating,1.278464830234984,Medium
DOG-147,Dog,German Shepherd,79,37.5,C,B2024-014,2024-11-29,Dr. Patel,NA,8.9,4.6,86,New Flavour Coating,2.1402396653858853,Fast
CAT-142,Cat,Siamese,44,6.3,C,B2024-013,2024-04-02,Dr. Okafor,NA,7,10.2,74.9,New Flavour Coating,-0.6316546497386636,Medium
CAT-126,Cat,Bengal,17,5.5,B,B2024-005,2024-10-11,Dr. Smith,NA,7.6,6.5,79.2,New Protein,-0.7027288629469853,Fast
DOG-012,Dog,Poodle,69,8.1,C,B2024-002,2024-11-10,Dr. Patel,NA,8.3,2,78.2,New Flavour Coating,-0.4717376700199396,Fast
CAT-053,Cat,Siamese,117,4.1,C,B2024-012,2024-06-02,Dr. Smith,NA,8.5,2,67,New Flavour Coating,-0.8271087360615484,Fast
DOG-106,Dog,Labrador,112,37.4,C,B2024-010,2024-01-08,Dr. Chen,NA,10,2,99,New Flavour Coating,2.131355388734845,Fast
DOG-120,Dog,German Shepherd,62,11.7,C,B2024-013,2024-12-20,Dr. Okafor,NA,7.5,11.6,74.5,New Flavour Coating,-0.15190371058249172,Medium
DOG-003,Dog,Labrador,97,30.3,B,B2024-004,2024-06-12,Dr. Okafor,NA,8.5,7.8,83,New Protein,1.5005717465109893,Fast
CAT-215,Cat,Maine Coon,63,6,B,B2024-005,2024-08-01,Dr. Patel,NA,7.2,16.4,64.2,New Protein,-0.6583074796917843,Medium
DOG-236,Dog,Beagle,109,3.3,B,B2024-006,2024-09-23,Dr. Patel,NA,7.2,9.8,73.4,New Protein,-0.8981829492698701,Fast
CAT-082,Cat,Bengal,46,3,A,B2024-001,2024-12-24,Dr. Chen,NA,7.2,13.2,59.1,Control,-0.9248357792229909,Medium
DOG-151,Dog,Beagle,59,28,C,B2024-012,2024-09-15,Dr. Chen,NA,9.2,5.4,101.1,New Flavour Coating,1.2962333835370643,Fast
CAT-025,Cat,British Shorthair,24,4.9,A,B2024-012,2024-12-28,Dr. Okafor,NA,6.4,16.2,48.1,Control,-0.7560345228532266,Medium
DOG-234,Dog,Beagle,38,NA,C,B2024-012,2024-07-25,Dr. Patel,NA,9.3,15.1,94.9,New Flavour Coating,NA,Medium
CAT-081,Cat,Maine Coon,32,5.3,C,B2024-001,2024-06-23,Dr. Patel,NA,8.6,7.4,67.9,New Flavour Coating,-0.7204974162490657,Fast
CAT-006,Cat,Maine Coon,81,NA,C,B2024-007,2024-12-27,Dr. Smith,NA,7.7,10.6,74.9,New Flavour Coating,NA,Medium
CAT-201,Cat,Maine Coon,50,3.1,A,B2024-014,2024-01-05,Dr. Chen,NA,6.2,12.4,54.3,Control,-0.9159515025719507,Medium
CAT-134,Cat,Ragdoll,55,3.1,C,B2024-004,2024-05-22,Dr. Okafor,NA,9.2,5.1,66.8,New Flavour Coating,-0.9159515025719507,Fast
CAT-101,Cat,Siamese,48,6,A,B2024-001,2024-09-28,Dr. Smith,NA,4.9,14.6,43.8,Control,-0.6583074796917843,Medium
DOG-224,Dog,Poodle,63,31.6,C,B2024-013,2024-09-24,Dr. Okafor,NA,8.3,9,78.4,New Flavour Coating,1.6160673429745125,Fast
DOG-202,Dog,Golden Retriever,50,38,C,B2024-004,2024-09-13,Dr. Chen,NA,7.7,15.9,95.2,New Flavour Coating,2.1846610486410865,Medium
CAT-012,Cat,Maine Coon,33,4.8,C,B2024-002,2024-03-06,Dr. Chen,NA,6.7,17.5,45.7,New Flavour Coating,-0.7649187995042668,Medium
DOG-228,Dog,Labrador,113,11.9,A,B2024-010,2024-11-28,Dr. Chen,NA,7.2,10.7,71.3,Control,-0.13413515728041117,Medium
CAT-164,Cat,British Shorthair,83,6.3,B,B2024-010,2024-07-10,Dr. Chen,NA,5.3,13.4,47.2,New Protein,-0.6316546497386636,Medium
CAT-018,Cat,Siamese,40,3.9,A,B2024-015,2024-06-24,Dr. Smith,NA,5.7,23.2,38.1,Control,-0.8448772893636288,Medium
CAT-047,Cat,Siamese,83,5.6,B,B2024-007,2024-03-21,Dr. Smith,NA,6.9,7.5,63.3,New Protein,-0.6938445862959451,Fast
CAT-017,Cat,British Shorthair,76,4,B,B2024-004,2024-03-17,Dr. Okafor,NA,6.8,13.4,67.6,New Protein,-0.8359930127125886,Medium
CAT-105,Cat,Siamese,70,6.6,B,B2024-009,2024-06-15,Dr. Okafor,NA,5.6,13.4,57.5,New Protein,-0.6050018197855429,Medium
DOG-182,Dog,Beagle,96,26.2,A,B2024-013,2024-04-01,Dr. Patel,NA,8.7,8.7,79.5,Control,1.1363164038183402,Fast
CAT-003,Cat,Bengal,109,4.9,C,B2024-014,2024-03-24,Dr. Okafor,NA,7.5,15.1,68.5,New Flavour Coating,-0.7560345228532266,Medium
CAT-099,Cat,British Shorthair,99,6.5,C,B2024-008,2024-11-13,Dr. Smith,NA,8,17.4,59.7,New Flavour Coating,-0.6138860964365831,Medium
DOG-056,Dog,Labrador,22,36.9,A,B2024-015,2024-02-15,Dr. Patel,NA,6.5,5.9,76.4,Control,2.0869340054796437,Fast
CAT-008,Cat,Bengal,117,5,A,B2024-012,2024-01-05,Dr. Okafor,NA,6.2,16.5,65.5,Control,-0.7471502462021864,Medium
CAT-059,Cat,Ragdoll,120,4.1,A,B2024-013,2024-08-31,Dr. Okafor,NA,5,11,46.1,Control,-0.8271087360615484,Medium
CAT-120,Cat,British Shorthair,17,3.6,A,B2024-007,2024-09-22,Dr. Smith,NA,7.9,7.8,72.5,Control,-0.8715301193167495,Fast
CAT-088,Cat,Ragdoll,28,3.7,A,B2024-003,2024-06-04,Dr. Patel,NA,6.4,13.7,59.1,Control,-0.8626458426657093,Medium
CAT-073,Cat,Bengal,25,5.3,C,B2024-002,2024-11-13,Dr. Patel,NA,5.7,12.5,44.9,New Flavour Coating,-0.7204974162490657,Medium
CAT-178,Cat,Siamese,88,NA,A,B2024-007,2024-01-14,Dr. Chen,NA,3.8,21.7,41.9,Control,NA,Medium
CAT-023,Cat,Siamese,12,3.6,B,B2024-001,2024-10-06,Dr. Patel,NA,7.4,5.7,51.8,New Protein,-0.8715301193167495,Fast
CAT-145,Cat,Ragdoll,115,3.7,C,B2024-011,2024-04-21,Dr. Okafor,NA,8,11,66.7,New Flavour Coating,-0.8626458426657093,Medium
DOG-267,Dog,Poodle,73,16.9,B,B2024-002,2024-04-21,Dr. Smith,NA,9.3,15.6,69.6,New Protein,0.3100786752715997,Medium
DOG-072,Dog,Golden Retriever,108,17.1,C,B2024-013,2024-06-21,Dr. Okafor,NA,5.8,12.9,73.6,New Flavour Coating,0.32784722857368037,Medium
CAT-199,Cat,Ragdoll,12,5.4,A,B2024-003,2024-04-12,Dr. Patel,NA,7.5,16,80.5,Control,-0.7116131395980255,Medium
CAT-157,Cat,Bengal,68,5.9,B,B2024-006,2024-08-15,Dr. Chen,NA,9.7,4,87.7,New Protein,-0.6671917563428245,Fast
CAT-096,Cat,Maine Coon,77,6.3,C,B2024-011,2024-03-05,Dr. Okafor,Trial interrupted — pet distracted,8.6,4.1,85.9,New Flavour Coating,-0.6316546497386636,Fast
CAT-211,Cat,British Shorthair,55,6.3,B,B2024-002,2024-05-15,Dr. Chen,NA,6.6,19,56,New Protein,-0.6316546497386636,Medium
CAT-189,Cat,Bengal,42,NA,C,B2024-005,2024-01-20,Dr. Patel,NA,6.4,14.7,70.7,New Flavour Coating,NA,Medium
CAT-098,Cat,Bengal,37,5.3,C,B2024-011,2024-10-14,Dr. Patel,NA,5.8,14.8,57.9,New Flavour Coating,-0.7204974162490657,Medium
CAT-041,Cat,Ragdoll,9,4.4,B,B2024-008,2024-07-09,Dr. Chen,NA,8.1,11.7,63.3,New Protein,-0.8004559061084278,Medium
DOG-045,Dog,Golden Retriever,8,12.5,B,B2024-001,2024-06-07,Dr. Okafor,NA,7.6,12.2,78.7,New Protein,-0.08082949737416988,Medium
DOG-005,Dog,Golden Retriever,98,NA,A,B2024-008,2024-07-07,Dr. Okafor,NA,6.1,15.6,75.6,Control,NA,Medium
DOG-128,Dog,Golden Retriever,68,37.6,A,B2024-009,2024-12-23,Dr. Smith,NA,8.2,7,87.1,Control,2.1491239420369257,Fast
CAT-171,Cat,Siamese,95,3.1,C,B2024-010,2024-04-02,Dr. Smith,NA,8.4,9.4,67.5,New Flavour Coating,-0.9159515025719507,Fast
CAT-077,Cat,British Shorthair,29,6.1,A,B2024-001,2024-01-28,Dr. Smith,NA,6.2,19.6,68.5,Control,-0.6494232030407441,Medium
CAT-119,Cat,Siamese,75,5.2,C,B2024-001,2024-02-16,Dr. Smith,NA,8.4,12.4,66.8,New Flavour Coating,-0.729381692900106,Medium
DOG-090,Dog,German Shepherd,61,36.6,C,B2024-009,2024-10-21,Dr. Okafor,NA,6.3,11.6,89,New Flavour Coating,2.0602811755265233,Medium
DOG-141,Dog,Poodle,14,31.3,A,B2024-007,2024-09-26,Dr. Chen,NA,5.4,14.7,68.1,Control,1.5894145130213917,Medium
CAT-110,Cat,Siamese,44,5.3,A,B2024-008,2024-04-12,Dr. Okafor,NA,6.8,9.7,53,Control,-0.7204974162490657,Fast
DOG-061,Dog,Poodle,55,6.6,A,B2024-001,2024-02-27,Dr. Patel,NA,6,14.8,58.6,Control,-0.6050018197855429,Medium
DOG-180,Dog,German Shepherd,75,13.3,A,B2024-011,2024-02-16,Dr. Patel,NA,8.5,8.2,104.2,Control,-0.00975528416584805,Fast
CAT-001,Cat,Bengal,64,NA,B,B2024-014,2024-05-26,Dr. Okafor,NA,7.9,5.9,67.4,New Protein,NA,Fast
DOG-146,Dog,Beagle,81,NA,C,B2024-013,2024-06-19,Dr. Patel,NA,8.8,2,108.5,New Flavour Coating,NA,Fast
DOG-200,Dog,Beagle,24,16.9,B,B2024-014,2024-04-01,Dr. Smith,NA,7.7,8.8,85.8,New Protein,0.3100786752715997,Fast
CAT-230,Cat,British Shorthair,52,5,A,B2024-008,2024-12-13,Dr. Okafor,NA,6.4,17,66.8,Control,-0.7471502462021864,Medium
DOG-187,Dog,Labrador,113,5.6,A,B2024-008,2024-04-01,Dr. Patel,NA,5.7,18,81.3,Control,-0.6938445862959451,Medium
CAT-103,Cat,Ragdoll,19,NA,A,B2024-004,2024-04-08,Dr. Chen,NA,4.6,16.4,47.1,Control,NA,Medium
DOG-241,Dog,Golden Retriever,50,18.3,C,B2024-012,2024-04-18,Dr. Patel,NA,7.6,12.2,67.5,New Flavour Coating,0.434458548386163,Medium
CAT-170,Cat,Bengal,91,4.5,A,B2024-003,2024-03-08,Dr. Smith,NA,7.3,9.6,66.5,Control,-0.7915716294573876,Fast
DOG-031,Dog,Beagle,14,24.2,C,B2024-013,2024-11-02,Dr. Patel,NA,10,3.2,82.4,New Flavour Coating,0.9586308707975358,Fast
CAT-079,Cat,Bengal,104,3.8,C,B2024-014,2024-06-04,Dr. Smith,NA,5,15.4,52.6,New Flavour Coating,-0.853761566014669,Medium
