pet_id,species,breed,age_months,weight_kg,formula,batch_id,trial_date,lab_technician,notes,palatability_score,time_to_first_bite,consumed_amount_grams,row_number
DOG-182,Dog,Beagle,96,26.2,A,B2024-013,2024-04-01,Dr. Patel,,8.7,8.7,79.5,136
CAT-003, Cat ,Bengal,109,4.9,C,B2024-014,2024-03-24,Dr. Okafor,,7.5,15.1,68.5,137
CAT-099,Cat,British Shorthair,99,6.5,C,B2024-008,2024-11-13,Dr. Smith,,8,17.4,59.7,138
DOG-056,Dog,Labrador,22,36.9,A,B2024-015,2024-02-15,Dr. Patel,,6.5,5.9,76.4,139
CAT-008,Cat,Bengal,117,5,A,B2024-012,2024-01-05,Dr. Okafor,,NA,16.5,65.5,140
CAT-059,Cat,Ragdoll,120,4.1,A,B2024-013,2024-08-31,Dr. Okafor,,5,11,46.1,141
CAT-120,Cat,British Shorthair,17,3.6,A,B2024-007,2024-09-22,Dr. Smith,,7.9,7.8,72.5,142
CAT-088,Cat,Ragdoll,28,3.7,A,B2024-003,2024-06-04,Dr. Patel,,6.4,13.7,59.1,143
CAT-073,Cat,Bengal,25,5.3,C,B2024-002,2024-11-13,Dr. Patel,,5.7,12.5,44.9,144
CAT-178,Cat,Siamese,88,NA,A,B2024-007,2024-01-14,Dr. Chen,,3.8,21.7,41.9,145
CAT-023,Cat,Siamese,12,3.6,B,B2024-001,2024-10-06,Dr. Patel,,7.4,5.7,51.8,146
CAT-145,Cat,Ragdoll,115,3.7,C,B2024-011,2024-04-21,Dr. Okafor,,8,11,66.7,147
DOG-267,Dog,Poodle,73,16.9,B,B2024-002,2024-04-21,Dr. Smith,,9.3,15.6,69.6,148
DOG-072,Dog,Golden Retriever,108,17.1,C,B2024-013,2024-06-21,Dr. Okafor,,5.8,12.9,73.6,149
CAT-199,Cat,Ragdoll,12,5.4,A,B2024-003,2024-04-12,Dr. Patel,,7.5,16,80.5,150
CAT-157,Cat,Bengal,68,5.9,B,B2024-006,2024-08-15,Dr. Chen,,9.7,4,87.7,151
CAT-096,Cat,Maine Coon,77,6.3,C,B2024-011,2024-03-05,Dr. Okafor,Trial interrupted — pet distracted,8.6,4.1,85.9,152
CAT-211,Cat,British Shorthair,55,6.3,B,B2024-002,2024-05-15,Dr. Chen,,6.6,19,56,153
CAT-189,Cat,Bengal,42,NA,C,B2024-005,2024-01-20,Dr. Patel,,6.4,14.7,70.7,154
CAT-098,Cat,Bengal,37,5.3,C,B2024-011,2024-10-14,Dr. Patel,,5.8,14.8,57.9,155
CAT-041,Cat,Ragdoll,9,4.4,B,B2024-008,2024-07-09,Dr. Chen,,8.1,11.7,NA,156
DOG-045,Dog,Golden Retriever,8,12.5,B,B2024-001,2024-06-07,Dr. Okafor,,7.6,12.2,NA,157
DOG-005,Dog,Golden Retriever,98,NA,A,B2024-008,2024-07-07,Dr. Okafor,,6.1,15.6,75.6,158
DOG-128,Dog,Golden Retriever,68,37.6,A,B2024-009,2024-12-23,Dr. Smith,,8.2,7,87.1,159
CAT-171,Cat,Siamese,95,3.1,C,B2024-010,2024-04-02,Dr. Smith,,8.4,9.4,67.5,160
CAT-077,Cat,British Shorthair,29,6.1,A,B2024-001,2024-01-28,Dr. Smith,NA,NA,19.6,68.5,161
CAT-119,Cat,Siamese,75,5.2,C,B2024-001,2024-02-16,Dr. Smith,,8.4,12.4,NA,162
DOG-090,Dog,German Shepherd,61,36.6,C,B2024-009,2024-10-21,Dr. Okafor,,6.3,11.6,89,163
DOG-141,Dog,Poodle,14,31.3,A,B2024-007,2024-09-26,Dr. Chen,,5.4,14.7,68.1,164
CAT-110,Cat,Siamese,44,5.3,A,B2024-008,2024-04-12,Dr. Okafor,,6.8,9.7,53,165
DOG-061,Dog,Poodle,55,6.6,A,B2024-001,2024-02-27,Dr. Patel,NA,6,14.8,58.6,166
DOG-180,Dog,German Shepherd,75,13.3,A,B2024-011,2024-02-16,Dr. Patel,,8.5,8.2,104.2,167
CAT-001,Cat,Bengal,64,NA,B,B2024-014,2024-05-26,Dr. Okafor,,7.9,5.9,67.4,168
DOG-146,Dog,Beagle,81,NA,C,B2024-013,2024-06-19,Dr. Patel,,8.8,2,108.5,169
DOG-200,Dog,Beagle,24,16.9,B,B2024-014,2024-04-01,Dr. Smith,,7.7,8.8,85.8,170
CAT-230,Cat,British Shorthair,52,5,A,B2024-008,2024-12-13,Dr. Okafor,,6.4,17,66.8,171
DOG-187,Dog,Labrador,113,5.6,A,B2024-008,2024-04-01,Dr. Patel,,5.7,18,81.3,172
CAT-103,Cat,Ragdoll,19,NA,A,B2024-004,2024-04-08,Dr. Chen,,4.6,16.4,47.1,173
DOG-241,Dog,Golden Retriever,50,18.3,C,B2024-012,2024-04-18,Dr. Patel,,7.6,12.2,67.5,174
CAT-170,Cat,Bengal,91,4.5,A,B2024-003,2024-03-08,Dr. Smith,NA,7.3,9.6,66.5,175
DOG-031,Dog,Beagle,14,24.2,C,B2024-013,2024-11-02,Dr. Patel,NA,10,3.2,NA,176
CAT-079,Cat,Bengal,104,3.8,C,B2024-014,2024-06-04,Dr. Smith,,5,15.4,52.6,177
CAT-058,Cat,Siamese,96,4.5,C,B2024-009,2024-09-14,Dr. Okafor,,7.5,7.9,56,178
DOG-059,Dog,Golden Retriever,42,22.9,C,B2024-011,2024-05-11,Dr. Chen,Container seal was compromised,8.3,11.3,93.6,179
DOG-142,Dog,Golden Retriever,45,13.7,A,B2024-015,2024-12-12,Dr. Chen,,10,10.3,104.4,180
DOG-203,Dog,German Shepherd,47,36.7,C,B2024-015,2024-11-03,Dr. Chen,Pet showed strong preference immediately,9.6,7.7,95.4,181
DOG-176,Dog,Golden Retriever,86,10.1,B,B2024-002,2024-02-17,Dr. Smith,,9.1,10.4,82.2,182
DOG-100,Dog,Poodle,46,8.9,B,B2024-006,2024-10-11,Dr. Okafor,,7,10.4,82.9,183
DOG-171,Dog,German Shepherd,114,30.9,B,B2024-010,2024-08-26,Dr. Smith,,9.3,12.4,96.5,184
DOG-259,Dog,Golden Retriever,15,10.5,C,B2024-002,2024-03-06,Dr. Smith,,9.3,16.7,85.2,185
CAT-011,Cat,Bengal,15,5.8,B,B2024-003,2024-02-04,Dr. Patel,,8.6,6,72.7,186
CAT-069,Cat,Bengal,49,3.2,A,B2024-008,2024-02-28,Dr. Smith,,3.1,24.7,47.6,187
DOG-113,Dog,Beagle,74,4.7,C,B2024-002,2024-02-08,Dr. Patel,,NA,18,46.9,188
DOG-018,Dog,Labrador,87,19.2,B,B2024-010,2024-12-23,Dr. Patel,,7.3,13.4,NA,189
DOG-036,Dog,Poodle,97,4.9,B,B2024-005,2024-03-27,Dr. Patel,,8.6,18.3,67.5,190
DOG-164,Dog,Labrador,88,17.8,A,B2024-003,2024-02-05,Dr. Patel,,5.2,13,60.7,191
DOG-039,Dog,German Shepherd,113,17,A,B2024-008,2024-01-03,Dr. Okafor,,8,5.3,98.4,192
CAT-162,Cat,Siamese,21,4.9,A,B2024-012,2024-06-18,Dr. Okafor,,NA,21.1,49.2,193
DOG-183,Dog,German Shepherd,89,16.7,C,B2024-008,2024-02-19,Dr. Smith,,7.3,6.4,NA,194
DOG-121,Dog,Golden Retriever,25,17.9,A,B2024-008,2024-11-13,Dr. Patel,,8.4,7.2,97.4,195
CAT-071,Cat,Maine Coon,9,5,C,B2024-006,2024-03-24,Dr. Patel,,7.3,10.3,78.1,196
DOG-245,Dog,Beagle,21,25.9,C,B2024-001,2024-03-21,Dr. Okafor,NA,7.7,6.2,78.3,197
CAT-139,Cat,Siamese,103,NA,A,B2024-010,2024-03-26,Dr. Smith,,6.3,12.9,47.9,198
CAT-093,Cat,Maine Coon,106,6.2,C,B2024-002,2024-04-02,Dr. Smith,,9.6,6.5,71.8,199
CAT-035,Cat,British Shorthair,37,4.1,A,B2024-015,2024-12-02,Dr. Okafor,,8.4,9.1,62.9,200
CAT-211,Cat,British Shorthair,55,6.3,B,B2024-002,2024-05-15,Dr. Chen,,6.6,19,56,201
CAT-080,Cat,Maine Coon,90,4.3,A,B2024-010,2024-12-20,Dr. Chen,,5.9,20.2,37.1,202
DOG-105,Dog,Golden Retriever,6,25.8,B,B2024-010,2024-06-23,Dr. Chen,NA,7,14,61.3,203
CAT-156,Cat,Maine Coon,69,4.2,C,B2024-004,2024-08-15,Dr. Okafor,,5.2,20.1,55.2,204
DOG-091,Dog,Labrador,80,36.3,B,B2024-004,2024-03-14,Dr. Smith,,8.1,7.9,78.7,205
DOG-167,Dog,Poodle,67,20.6,B,B2024-012,2024-10-11,Dr. Chen,,6.5,15.9,89.2,206
CAT-040,Cat,Maine Coon,96,5,A,B2024-013,2024-06-15,Dr. Chen,,7,21.6,36.8,207
DOG-103,Dog,Beagle,81,25.8,B,B2024-010,2024-07-23,Dr. Chen,,9.6,6.5,109.3,208
CAT-049,Cat,Siamese,76,6.2,A,B2024-007,2024-01-04,Dr. Okafor,,7.1,3.3,69.9,209
CAT-152,Cat,Maine Coon,36,6.4,B,B2024-014,2024-04-09,Dr. Patel,NA,6.1,15.4,37.6,210
DOG-035,Dog,Golden Retriever,120,18.2,C,B2024-003,2024-03-23,Dr. Okafor,,9.3,9.7,90.8,211
CAT-138,Cat,Siamese,101,6.7,C,B2024-011,2024-03-23,Dr. Smith,,6.2,21.3,61.5,212
DOG-135,Dog,German Shepherd,106,8.1,B,B2024-001,2024-02-11,Dr. Okafor,,5.8,13.5,49.7,213
CAT-227,Cat,Ragdoll,90,4.1,C,B2024-005,2024-07-05,Dr. Chen,,6.2,9.1,77.3,214
CAT-193,Cat,Siamese,70,3.6,C,B2024-009,2024-05-04,Dr. Chen,,8.7,11.2,73.2,215
DOG-194,Dog,Poodle,108,24,B,B2024-004,2024-07-22,Dr. Patel,,6.9,11.6,60.7,216
DOG-007,Dog,Golden Retriever,50,14,B,B2024-005,NA,Dr. Chen,,8.3,9.7,75.7,217
DOG-116,Dog,Labrador,25,11.4,A,B2024-010,2024-12-05,Dr. Smith,,5.4,14.6,58.9,218
DOG-163,Dog,Beagle,66,NA,B,B2024-010,2024-08-18,Dr. Patel,,5.8,16.3,71,219
CAT-203,Cat,British Shorthair,119,NA,A,B2024-003,2024-01-09,Dr. Smith,,5.4,15.8,47.3,220
CAT-010,Cat,Ragdoll,116,5.2,B,B2024-015,2024-08-20,Dr. Smith,,7.7,9.9,69.9,221
DOG-217,Dog,Golden Retriever,58,16.6,A,B2024-002,2024-07-07,Dr. Okafor,,9.2,8.1,96,222
CAT-002,Cat,Maine Coon,58,3.7,B,B2024-004,2024-10-07,Dr. Chen,NA,NA,17,NA,223
CAT-224,Cat,Maine Coon,56,3.2,C,B2024-004,2024-01-13,Dr. Chen,,10,3.9,83.1,224
DOG-016,Dog,Beagle,36,16.6,C,B2024-015,2024-08-20,Dr. Patel,,8,4.6,NA,225
CAT-148,Cat,Siamese,39,6.5,C,B2024-005,2024-04-23,Dr. Smith,NA,8.4,5.4,60.5,226
CAT-214,Cat,Ragdoll,87,3,C,B2024-006,2024-05-31,Dr. Okafor,NA,7.8,14.7,60.6,227
DOG-101,Dog,Labrador,15,37.1,C,B2024-014,2024-12-28,Dr. Okafor,,10,11.5,112.7,228
CAT-054,Cat,British Shorthair,41,4,B,B2024-006,2024-02-12,Dr. Patel,Container seal was compromised,7.4,6.9,79.8,229
CAT-038,Cat,Maine Coon,6,3.7,B,B2024-009,2024-01-18,Dr. Smith,,6.5,7.2,46.4,230
